Country,Continent,ISO_Code,Level,GDLCODE,Region,"Subnational HDI","Educational index ","Income index"
"Kuwait","Asia/Pacific","KWT","National","KWTt","Total",0.847,0.684,0.958
"Kyrgyz Republic","Asia/Pacific","KGZ","National","KGZt","Total",0.701,0.760,0.584
"Lao PDR","Asia/Pacific","LAO","National","LAOt","Total",0.620,0.481,0.657
"Latvia","Europe","LVA","National","LVAt","Total",0.879,0.904,0.872
"Lebanon","Asia/Pacific","LBN","National","LBNt","Total",0.723,0.622,0.727
"Lesotho","Africa","LSO","National","LSOt","Total",0.521,0.559,0.498
"Liberia","Africa","LBR","National","LBRt","Total",0.487,0.468,0.391
"Libya","Africa","LBY","National","LBYt","Total",0.746,0.648,0.798
"Liechtenstein","Europe","LIE","National","LIEt","Total",0.942,0.841,1.000
"Lithuania","Europe","LTU","National","LTUt","Total",0.879,0.905,0.898
"Luxembourg","Europe","LUX","National","LUXt","Total",0.927,0.826,1.000
"Madagascar","Africa","MDG","National","MDGt","Total",0.487,0.409,0.405
"Malawi","Africa","MWI","National","MWIt","Total",0.508,0.494,0.402
"Malaysia","Asia/Pacific","MYS","National","MYSt","Total",0.807,0.718,0.847
"Maldives","Asia/Pacific","MDV","National","MDVt","Total",0.762,0.597,0.791
"Mali","Africa","MLI","National","MLIt","Total",0.410,0.250,0.456
