lat,lon,pca_result,K_mean_label,C_mean_label,GMM_label
25.67507,-100.31847,-0.14067543,11,1,11
32.62781,-115.45446,-0.6181181,3,17,3
23.2329,-106.4062,-0.34659868,3,17,3
29.1026,-110.97732,0.08402655,3,1,3
21.01858,-101.2591,1.449017,6,1,6
20.66682,-103.39182,-0.37272164,11,17,11
-14.96778,40.66389,0.87478644,18,1,18
-25.96553,32.58322,-1.0526042,17,17,17
-19.84361,34.83889,-0.34134766,9,17,9
-22.55941,17.08323,-0.9024541,17,17,17
13.51366,2.1098,1.1965921,8,1,8
13.06269,5.24322,0.5695919,5,1,5
4.77742,7.0134,0.43533695,1,1,1
11.84692,13.15712,-0.21000268,1,17,1
7.79688,6.74048,-0.63069767,13,17,13
6.45407,3.39467,0.7678346,8,1,8
12.00012,8.51672,0.17113785,5,1,5
10.52641,7.43879,-0.47649652,13,17,13
7.37756,3.90591,1.5680715,19,1,19
6.44132,7.49883,1.2232785,8,1,8
4.95893,8.32695,1.510249,19,1,19
6.33815,5.62575,1.6563487,6,1,6
9.05785,7.49508,0.69285005,8,1,8
12.13282,-86.2504,0.15247689,11,1,11
51.9225,4.47917,-0.880643,16,17,16
52.37302,4.89856,-0.5670261,16,17,16
59.91273,10.74609,-0.888818,16,17,16
60.39299,5.32415,-0.6319959,16,17,16
27.70169,85.3206,0.28896824,5,1,5
-41.28664,174.77557,-0.53453845,16,17,16
-43.53333,172.63333,0.059846513,10,1,10
-36.85582,174.74304,-0.5439023,13,17,13
-5.19449,-80.63282,-0.32949102,3,17,3
-6.77137,-79.84088,-0.49124846,3,17,3
-12.04318,-77.02824,0.94443464,11,1,11
-14.06777,-75.72861,0.3840426,11,1,11
-13.52264,-71.96734,0.36340737,11,1,11
-16.39889,-71.535,0.2631457,11,1,11
-4.20037,152.16297,1.0507731,4,1,4
-9.47723,147.15089,1.0500104,4,1,4
14.6042,120.9822,1.0321238,4,1,4
10.31672,123.89071,1.0288306,4,1,4
33.59733,73.0479,-0.80454355,13,17,13
30.18414,67.00141,-0.26857406,3,17,3
34.008,71.57849,-0.10081925,5,17,5
31.558,74.35071,0.1054201,5,1,5
24.8608,67.0104,-0.56710356,3,17,3
33.72148,73.04329,-0.56400627,13,17,13
52.22977,21.01178,-1.0911196,17,17,17
52.40692,16.92993,-1.0482237,16,17,16
50.06143,19.93658,-0.9935558,17,17,17
38.71667,-9.13333,-0.44275513,2,17,2
37.01869,-7.92716,-0.3136535,2,17,2
41.14961,-8.61099,-0.66345024,2,17,2
-25.28646,-57.647,0.36427623,10,1,10
46.76667,23.6,-0.82060933,17,17,17
44.43225,26.10626,-1.0508096,17,17,17
44.80401,20.46513,-1.0309272,17,17,17
59.93863,30.31413,-0.8055364,16,17,16
53.20007,50.15,-0.89603907,16,17,16
47.23135,39.72328,-0.99092436,17,17,17
55.75222,37.61556,-1.0000473,16,17,16
64.54717,40.55291,-0.8956059,16,17,16
56.8519,60.6122,-0.4854013,16,17,16
54.99244,73.36859,-0.75762343,16,17,16
56.02668,92.90765,-0.1595244,12,17,12
62.03389,129.73306,0.23054588,12,1,12
43.10562,131.87353,0.33600822,12,1,12
52.29778,104.29639,-0.29178256,12,17,12
-1.94995,30.05885,-0.8283035,17,17,17
24.68773,46.72185,-0.49433073,3,17,3
-9.43333,159.95,0.8919035,4,1,4
21.79577,31.37129,0.64424974,14,1,14
19.61745,37.21644,-0.3587194,14,17,14
13.18421,30.21669,-0.35277736,3,17,3
15.55177,32.53241,-0.39995247,3,17,3
13.62793,25.34936,0.4715815,14,1,14
67.85572,20.22513,0.14401294,12,1,12
59.32938,18.06871,-0.81361973,16,17,16
57.70716,11.96679,-0.46408698,16,17,16
63.18333,14.53333,0.5088386,0,1,0
46.05918,14.50916,-0.9660733,17,17,17
48.71395,21.25808,-0.97154105,17,17,17
48.14816,17.10674,-1.0669779,17,17,17
7.87687,-11.19025,0.6174333,8,1,8
8.48714,-13.2356,0.77085006,8,1,8
7.96472,-11.73833,1.1049967,8,1,8
14.6937,-17.44406,1.305187,4,1,4
2.03711,45.34375,-0.29727396,9,17,9
4.85165,31.58247,-0.7334994,1,17,1
0.33654,6.72732,-0.16302411,9,17,9
13.68935,-89.18718,0.041838106,11,1,11
33.5102,36.29128,-0.9731076,13,17,13
-26.49884,31.38004,-0.9122311,17,17,17
12.10672,15.0444,-0.20842396,14,17,14
17.9257,19.10428,0.7650933,14,1,14
6.12874,1.22154,-0.18150875,1,17,1
13.75398,100.50144,-0.10471645,13,6,13
38.53575,68.77905,-0.4189025,13,17,13
-8.55861,125.57361,0.9641105,4,1,4
34.0,9.0,1.72782,19,1,19
33.88146,10.0982,0.16663338,14,1,14
-21.13683,-175.20114,-0.26040664,9,17,9
38.41273,27.13838,-0.62942827,14,17,14
39.91987,32.85427,-0.98609877,17,17,17
41.01384,28.94966,-0.7364623,13,17,13
11.18229,-60.73525,0.7683871,4,1,4
25.05306,121.52639,0.34459698,10,1,10
-6.16394,39.19793,-0.700114,9,17,9
-5.01622,32.82663,-0.67155415,1,17,1
-6.82102,37.66122,1.7504504,15,1,15
-8.9,33.45,-0.80451,17,17,17
-9.5,38.5,1.0883074,19,1,19
-6.82349,39.26951,-0.9599888,17,17,17
46.48572,30.74383,-0.45321554,9,17,9
50.45466,30.5238,-0.6844691,16,17,16
1.67444,31.715,-0.15013368,1,17,1
0.31628,32.58219,0.339859,18,1,18
0.05621,32.47949,-0.030272624,9,17,9
38.91706,-77.00025,0.3605212,11,1,11
29.95465,-90.07507,0.28518647,11,1,11
39.95238,-75.16362,0.17665328,10,1,10
30.26715,-97.74306,0.2513327,18,1,18
29.76328,-95.36327,-0.08318868,11,1,11
41.85003,-87.65005,0.056973204,11,1,11
42.35843,-71.05977,0.6431324,12,1,12
40.71427,-74.00597,0.26076585,11,1,11
34.05223,-118.24368,-0.582366,3,17,3
37.77493,-122.41942,-0.5840319,3,17,3
45.52345,-122.67621,-0.837311,13,17,13
47.60621,-122.33207,-0.83451724,13,17,13
-34.90328,-56.18816,-0.15930535,10,6,10
41.26465,69.21627,-0.8532327,13,17,13
10.48801,-66.87919,1.0710329,11,1,11
18.67337,105.69232,0.59078956,12,1,12
10.82302,106.62965,0.8671431,12,1,12
22.34023,103.84415,1.2166458,0,1,0
12.24507,109.19432,0.36977977,12,1,12
21.0245,105.84117,0.3361634,12,1,12
16.06778,108.22083,0.17809108,12,1,12
11.94646,108.44193,0.54748505,12,1,12
10.03711,105.78825,0.27085307,12,1,12
9.17682,105.15242,1.6769027,15,1,15
-17.73648,168.31366,0.5674709,9,1,9
-13.83333,-171.76666,-0.47332498,9,17,9
15.35472,44.20667,-0.73580605,13,17,13
12.77944,45.03667,1.5743428,15,1,15
-28.44776,21.25612,-0.5207165,17,17,17
-25.74486,28.18783,-0.9773867,17,17,17
-33.96109,25.61494,-0.91501373,16,17,16
-23.90449,29.46885,-0.8411875,17,17,17
-33.60047,22.19955,0.81789863,18,1,18
-25.47512,30.96935,-1.0596713,17,17,17
-23.04385,29.90319,-0.80687344,17,17,17
-28.73226,24.76232,-0.6731005,17,17,17
-26.23481,28.17665,-0.80724466,17,17,17
-33.01529,27.91162,-0.806543,9,17,9
-29.8579,31.0292,-0.48198268,9,17,9
-29.12107,26.214,-0.9047882,17,17,17
-33.92584,18.42322,-0.9750727,17,17,17
-15.40669,28.28713,-0.96197397,17,17,17
-17.82772,31.05337,-1.0823075,17,17,17
-20.15,28.58333,-0.884077,17,17,17
